house_id,price,area,AC,parking,prefarea
1,1800000,1200,No,No,No
2,2400000,1800,No,Yes,No
3,3200000,2400,Yes,No,No
4,4500000,3500,No,Yes,No
5,5200000,4100,Yes,Yes,Yes
6,6100000,4800,Yes,Yes,No
7,7200000,5000,Yes,Yes,Yes
8,8400000,5600,Yes,Yes,Yes
9,9500000,6200,Yes,Yes,Yes
10,11500000,7000,Yes,Yes,Yes
11,13500000,8200,Yes,Yes,Yes
12,2750000,3000,No,No,No
13,6800000,4600,No,Yes,No
14,7800000,5300,Yes,Yes,Yes
15,3900000,2800,No,No,No
16,1800000,1200,No,No,No
17,2400000,1800,No,Yes,No
18,3200000,2400,Yes,No,No
19,4500000,3500,No,Yes,No
20,5200000,4100,Yes,Yes,Yes
21,6100000,4800,Yes,Yes,No
22,7200000,5000,Yes,Yes,Yes
23,8400000,5600,Yes,Yes,Yes
24,9500000,6200,Yes,Yes,Yes
25,11500000,7000,Yes,Yes,Yes
26,13500000,8200,Yes,Yes,Yes
27,2750000,3000,No,No,No
28,6800000,4600,No,Yes,No
29,7800000,5300,Yes,Yes,Yes
30,3900000,2800,No,No,No
31,1800000,1200,No,No,No
32,2400000,1800,No,Yes,No
33,3200000,2400,Yes,No,No
34,4500000,3500,No,Yes,No
35,5200000,4100,Yes,Yes,Yes
36,6100000,4800,Yes,Yes,No
37,7200000,5000,Yes,Yes,Yes
38,8400000,5600,Yes,Yes,Yes
39,9500000,6200,Yes,Yes,Yes
40,11500000,7000,Yes,Yes,Yes
41,13500000,8200,Yes,Yes,Yes
42,2750000,3000,No,No,No
43,6800000,4600,No,Yes,No
44,7800000,5300,Yes,Yes,Yes
45,3900000,2800,No,No,No
46,1800000,1200,No,No,No
47,2400000,1800,No,Yes,No
48,3200000,2400,Yes,No,No
49,4500000,3500,No,Yes,No
50,5200000,4100,Yes,Yes,Yes
51,6100000,4800,Yes,Yes,No
52,7200000,5000,Yes,Yes,Yes
53,8400000,5600,Yes,Yes,Yes
54,9500000,6200,Yes,Yes,Yes
55,11500000,7000,Yes,Yes,Yes
56,13500000,8200,Yes,Yes,Yes
57,2750000,3000,No,No,No
58,6800000,4600,No,Yes,No
59,7800000,5300,Yes,Yes,Yes
60,3900000,2800,No,No,No
61,1800000,1200,No,No,No
62,2400000,1800,No,Yes,No
63,3200000,2400,Yes,No,No
64,4500000,3500,No,Yes,No
65,5200000,4100,Yes,Yes,Yes
66,6100000,4800,Yes,Yes,No
67,7200000,5000,Yes,Yes,Yes
68,8400000,5600,Yes,Yes,Yes
69,9500000,6200,Yes,Yes,Yes
70,11500000,7000,Yes,Yes,Yes
71,13500000,8200,Yes,Yes,Yes
72,2750000,3000,No,No,No
73,6800000,4600,No,Yes,No
74,7800000,5300,Yes,Yes,Yes
75,3900000,2800,No,No,No
76,1800000,1200,No,No,No
77,2400000,1800,No,Yes,No
78,3200000,2400,Yes,No,No
79,4500000,3500,No,Yes,No
80,5200000,4100,Yes,Yes,Yes
81,6100000,4800,Yes,Yes,No
82,7200000,5000,Yes,Yes,Yes
83,8400000,5600,Yes,Yes,Yes
84,9500000,6200,Yes,Yes,Yes
85,11500000,7000,Yes,Yes,Yes
86,13500000,8200,Yes,Yes,Yes
87,2750000,3000,No,No,No
88,6800000,4600,No,Yes,No
89,7800000,5300,Yes,Yes,Yes
90,3900000,2800,No,No,No
91,1800000,1200,No,No,No
92,2400000,1800,No,Yes,No
93,3200000,2400,Yes,No,No
94,4500000,3500,No,Yes,No
95,5200000,4100,Yes,Yes,Yes
96,6100000,4800,Yes,Yes,No
97,7200000,5000,Yes,Yes,Yes
98,8400000,5600,Yes,Yes,Yes
99,9500000,6200,Yes,Yes,Yes
100,11500000,7000,Yes,Yes,Yes
101,13500000,8200,Yes,Yes,Yes
102,2750000,3000,No,No,No
103,6800000,4600,No,Yes,No
104,7800000,5300,Yes,Yes,Yes
105,3900000,2800,No,No,No
106,1800000,1200,No,No,No
107,2400000,1800,No,Yes,No
108,3200000,2400,Yes,No,No
109,4500000,3500,No,Yes,No
110,5200000,4100,Yes,Yes,Yes
111,6100000,4800,Yes,Yes,No
112,7200000,5000,Yes,Yes,Yes
113,8400000,5600,Yes,Yes,Yes
114,9500000,6200,Yes,Yes,Yes
115,11500000,7000,Yes,Yes,Yes
116,13500000,8200,Yes,Yes,Yes
117,2750000,3000,No,No,No
118,6800000,4600,No,Yes,No
119,7800000,5300,Yes,Yes,Yes
120,3900000,2800,No,No,No
121,1800000,1200,No,No,No
122,2400000,1800,No,Yes,No
123,3200000,2400,Yes,No,No
124,4500000,3500,No,Yes,No
125,5200000,4100,Yes,Yes,Yes
126,6100000,4800,Yes,Yes,No
127,7200000,5000,Yes,Yes,Yes
128,8400000,5600,Yes,Yes,Yes
129,9500000,6200,Yes,Yes,Yes
130,11500000,7000,Yes,Yes,Yes
131,13500000,8200,Yes,Yes,Yes
132,2750000,3000,No,No,No
133,6800000,4600,No,Yes,No
134,7800000,5300,Yes,Yes,Yes
135,3900000,2800,No,No,No
136,1800000,1200,No,No,No
137,2400000,1800,No,Yes,No
138,3200000,2400,Yes,No,No
139,4500000,3500,No,Yes,No
140,5200000,4100,Yes,Yes,Yes
141,6100000,4800,Yes,Yes,No
142,7200000,5000,Yes,Yes,Yes
143,8400000,5600,Yes,Yes,Yes
144,9500000,6200,Yes,Yes,Yes
145,11500000,7000,Yes,Yes,Yes
146,13500000,8200,Yes,Yes,Yes
147,2750000,3000,No,No,No
148,6800000,4600,No,Yes,No
149,7800000,5300,Yes,Yes,Yes
150,3900000,2800,No,No,No
151,1800000,1200,No,No,No
152,2400000,1800,No,Yes,No
153,3200000,2400,Yes,No,No
154,4500000,3500,No,Yes,No
155,5200000,4100,Yes,Yes,Yes
156,6100000,4800,Yes,Yes,No
157,7200000,5000,Yes,Yes,Yes
158,8400000,5600,Yes,Yes,Yes
159,9500000,6200,Yes,Yes,Yes
160,11500000,7000,Yes,Yes,Yes
161,13500000,8200,Yes,Yes,Yes
162,2750000,3000,No,No,No
163,6800000,4600,No,Yes,No
164,7800000,5300,Yes,Yes,Yes
165,3900000,2800,No,No,No
166,1800000,1200,No,No,No
167,2400000,1800,No,Yes,No
168,3200000,2400,Yes,No,No
169,4500000,3500,No,Yes,No
170,5200000,4100,Yes,Yes,Yes
171,6100000,4800,Yes,Yes,No
172,7200000,5000,Yes,Yes,Yes
173,8400000,5600,Yes,Yes,Yes
174,9500000,6200,Yes,Yes,Yes
175,11500000,7000,Yes,Yes,Yes
176,13500000,8200,Yes,Yes,Yes
177,2750000,3000,No,No,No
178,6800000,4600,No,Yes,No
179,7800000,5300,Yes,Yes,Yes
180,3900000,2800,No,No,No
181,1800000,1200,No,No,No
182,2400000,1800,No,Yes,No
183,3200000,2400,Yes,No,No
184,4500000,3500,No,Yes,No
185,5200000,4100,Yes,Yes,Yes
186,6100000,4800,Yes,Yes,No
187,7200000,5000,Yes,Yes,Yes
188,8400000,5600,Yes,Yes,Yes
189,9500000,6200,Yes,Yes,Yes
190,11500000,7000,Yes,Yes,Yes
191,13500000,8200,Yes,Yes,Yes
192,2750000,3000,No,No,No
193,6800000,4600,No,Yes,No
194,7800000,5300,Yes,Yes,Yes
195,3900000,2800,No,No,No
196,1800000,1200,No,No,No
197,2400000,1800,No,Yes,No
198,3200000,2400,Yes,No,No
199,4500000,3500,No,Yes,No
200,5200000,4100,Yes,Yes,Yes
201,6100000,4800,Yes,Yes,No
202,7200000,5000,Yes,Yes,Yes
203,8400000,5600,Yes,Yes,Yes
204,9500000,6200,Yes,Yes,Yes
205,11500000,7000,Yes,Yes,Yes
206,13500000,8200,Yes,Yes,Yes
207,2750000,3000,No,No,No
208,6800000,4600,No,Yes,No
209,7800000,5300,Yes,Yes,Yes
210,3900000,2800,No,No,No
211,1800000,1200,No,No,No
212,2400000,1800,No,Yes,No
213,3200000,2400,Yes,No,No
214,4500000,3500,No,Yes,No
215,5200000,4100,Yes,Yes,Yes
216,6100000,4800,Yes,Yes,No
217,7200000,5000,Yes,Yes,Yes
218,8400000,5600,Yes,Yes,Yes
219,9500000,6200,Yes,Yes,Yes
220,11500000,7000,Yes,Yes,Yes
221,13500000,8200,Yes,Yes,Yes
222,2750000,3000,No,No,No
223,6800000,4600,No,Yes,No
224,7800000,5300,Yes,Yes,Yes
225,3900000,2800,No,No,No
226,1800000,1200,No,No,No
227,2400000,1800,No,Yes,No
228,3200000,2400,Yes,No,No
229,4500000,3500,No,Yes,No
230,5200000,4100,Yes,Yes,Yes
231,6100000,4800,Yes,Yes,No
232,7200000,5000,Yes,Yes,Yes
233,8400000,5600,Yes,Yes,Yes
234,9500000,6200,Yes,Yes,Yes
235,11500000,7000,Yes,Yes,Yes
236,13500000,8200,Yes,Yes,Yes
237,2750000,3000,No,No,No
238,6800000,4600,No,Yes,No
239,7800000,5300,Yes,Yes,Yes
240,3900000,2800,No,No,No
241,1800000,1200,No,No,No
242,2400000,1800,No,Yes,No
243,3200000,2400,Yes,No,No
244,4500000,3500,No,Yes,No
245,5200000,4100,Yes,Yes,Yes
246,6100000,4800,Yes,Yes,No
247,7200000,5000,Yes,Yes,Yes
248,8400000,5600,Yes,Yes,Yes
249,9500000,6200,Yes,Yes,Yes
250,11500000,7000,Yes,Yes,Yes
251,13500000,8200,Yes,Yes,Yes
252,2750000,3000,No,No,No
253,6800000,4600,No,Yes,No
254,7800000,5300,Yes,Yes,Yes
255,3900000,2800,No,No,No
256,1800000,1200,No,No,No
257,2400000,1800,No,Yes,No
258,3200000,2400,Yes,No,No
259,4500000,3500,No,Yes,No
260,5200000,4100,Yes,Yes,Yes
261,6100000,4800,Yes,Yes,No
262,7200000,5000,Yes,Yes,Yes
263,8400000,5600,Yes,Yes,Yes
264,9500000,6200,Yes,Yes,Yes
265,11500000,7000,Yes,Yes,Yes
266,13500000,8200,Yes,Yes,Yes
267,2750000,3000,No,No,No
268,6800000,4600,No,Yes,No
269,7800000,5300,Yes,Yes,Yes
270,3900000,2800,No,No,No
271,1800000,1200,No,No,No
272,2400000,1800,No,Yes,No
273,3200000,2400,Yes,No,No
274,4500000,3500,No,Yes,No
275,5200000,4100,Yes,Yes,Yes
276,6100000,4800,Yes,Yes,No
277,7200000,5000,Yes,Yes,Yes
278,8400000,5600,Yes,Yes,Yes
279,9500000,6200,Yes,Yes,Yes
280,11500000,7000,Yes,Yes,Yes
281,13500000,8200,Yes,Yes,Yes
282,2750000,3000,No,No,No
283,6800000,4600,No,Yes,No
284,7800000,5300,Yes,Yes,Yes
285,3900000,2800,No,No,No
286,1800000,1200,No,No,No
287,2400000,1800,No,Yes,No
288,3200000,2400,Yes,No,No
289,4500000,3500,No,Yes,No
290,5200000,4100,Yes,Yes,Yes
291,6100000,4800,Yes,Yes,No
292,7200000,5000,Yes,Yes,Yes
293,8400000,5600,Yes,Yes,Yes
294,9500000,6200,Yes,Yes,Yes
295,11500000,7000,Yes,Yes,Yes
296,13500000,8200,Yes,Yes,Yes
297,2750000,3000,No,No,No
298,6800000,4600,No,Yes,No
299,7800000,5300,Yes,Yes,Yes
300,3900000,2800,No,No,No
301,1800000,1200,No,No,No
302,2400000,1800,No,Yes,No
303,3200000,2400,Yes,No,No
304,4500000,3500,No,Yes,No
305,5200000,4100,Yes,Yes,Yes
306,6100000,4800,Yes,Yes,No
307,7200000,5000,Yes,Yes,Yes
308,8400000,5600,Yes,Yes,Yes
309,9500000,6200,Yes,Yes,Yes
310,11500000,7000,Yes,Yes,Yes
311,13500000,8200,Yes,Yes,Yes
312,2750000,3000,No,No,No
313,6800000,4600,No,Yes,No
314,7800000,5300,Yes,Yes,Yes
315,3900000,2800,No,No,No
316,1800000,1200,No,No,No
317,2400000,1800,No,Yes,No
318,3200000,2400,Yes,No,No
319,4500000,3500,No,Yes,No
320,5200000,4100,Yes,Yes,Yes
321,6100000,4800,Yes,Yes,No
322,7200000,5000,Yes,Yes,Yes
323,8400000,5600,Yes,Yes,Yes
324,9500000,6200,Yes,Yes,Yes
325,11500000,7000,Yes,Yes,Yes
326,13500000,8200,Yes,Yes,Yes
327,2750000,3000,No,No,No
328,6800000,4600,No,Yes,No
329,7800000,5300,Yes,Yes,Yes
330,3900000,2800,No,No,No
331,1800000,1200,No,No,No
332,2400000,1800,No,Yes,No
333,3200000,2400,Yes,No,No
334,4500000,3500,No,Yes,No
335,5200000,4100,Yes,Yes,Yes
336,6100000,4800,Yes,Yes,No
337,7200000,5000,Yes,Yes,Yes
338,8400000,5600,Yes,Yes,Yes
339,9500000,6200,Yes,Yes,Yes
340,11500000,7000,Yes,Yes,Yes
341,13500000,8200,Yes,Yes,Yes
342,2750000,3000,No,No,No
343,6800000,4600,No,Yes,No
344,7800000,5300,Yes,Yes,Yes
345,3900000,2800,No,No,No
346,1800000,1200,No,No,No
347,2400000,1800,No,Yes,No
348,3200000,2400,Yes,No,No
349,4500000,3500,No,Yes,No
350,5200000,4100,Yes,Yes,Yes
351,6100000,4800,Yes,Yes,No
352,7200000,5000,Yes,Yes,Yes
353,8400000,5600,Yes,Yes,Yes
354,9500000,6200,Yes,Yes,Yes
355,11500000,7000,Yes,Yes,Yes
356,13500000,8200,Yes,Yes,Yes
357,2750000,3000,No,No,No
358,6800000,4600,No,Yes,No
359,7800000,5300,Yes,Yes,Yes
360,3900000,2800,No,No,No
361,1800000,1200,No,No,No
362,2400000,1800,No,Yes,No
363,3200000,2400,Yes,No,No
364,4500000,3500,No,Yes,No
365,5200000,4100,Yes,Yes,Yes
366,6100000,4800,Yes,Yes,No
367,7200000,5000,Yes,Yes,Yes
368,8400000,5600,Yes,Yes,Yes
369,9500000,6200,Yes,Yes,Yes
370,11500000,7000,Yes,Yes,Yes
371,13500000,8200,Yes,Yes,Yes
372,2750000,3000,No,No,No
373,6800000,4600,No,Yes,No
374,7800000,5300,Yes,Yes,Yes
375,3900000,2800,No,No,No
376,1800000,1200,No,No,No
377,2400000,1800,No,Yes,No
378,3200000,2400,Yes,No,No
379,4500000,3500,No,Yes,No
380,5200000,4100,Yes,Yes,Yes
381,6100000,4800,Yes,Yes,No
382,7200000,5000,Yes,Yes,Yes
383,8400000,5600,Yes,Yes,Yes
384,9500000,6200,Yes,Yes,Yes
385,11500000,7000,Yes,Yes,Yes
386,13500000,8200,Yes,Yes,Yes
387,2750000,3000,No,No,No
388,6800000,4600,No,Yes,No
389,7800000,5300,Yes,Yes,Yes
390,3900000,2800,No,No,No
391,1800000,1200,No,No,No
392,2400000,1800,No,Yes,No
393,3200000,2400,Yes,No,No
394,4500000,3500,No,Yes,No
395,5200000,4100,Yes,Yes,Yes
396,6100000,4800,Yes,Yes,No
397,7200000,5000,Yes,Yes,Yes
398,8400000,5600,Yes,Yes,Yes
399,9500000,6200,Yes,Yes,Yes
400,11500000,7000,Yes,Yes,Yes
401,13500000,8200,Yes,Yes,Yes
402,2750000,3000,No,No,No
403,6800000,4600,No,Yes,No
404,7800000,5300,Yes,Yes,Yes
405,3900000,2800,No,No,No
406,1800000,1200,No,No,No
407,2400000,1800,No,Yes,No
408,3200000,2400,Yes,No,No
409,4500000,3500,No,Yes,No
410,5200000,4100,Yes,Yes,Yes
411,6100000,4800,Yes,Yes,No
412,7200000,5000,Yes,Yes,Yes
413,8400000,5600,Yes,Yes,Yes
414,9500000,6200,Yes,Yes,Yes
415,11500000,7000,Yes,Yes,Yes
416,13500000,8200,Yes,Yes,Yes
417,2750000,3000,No,No,No
418,6800000,4600,No,Yes,No
419,7800000,5300,Yes,Yes,Yes
420,3900000,2800,No,No,No
421,1800000,1200,No,No,No
422,2400000,1800,No,Yes,No
423,3200000,2400,Yes,No,No
424,4500000,3500,No,Yes,No
425,5200000,4100,Yes,Yes,Yes
426,6100000,4800,Yes,Yes,No
427,7200000,5000,Yes,Yes,Yes
428,8400000,5600,Yes,Yes,Yes
429,9500000,6200,Yes,Yes,Yes
430,11500000,7000,Yes,Yes,Yes
431,13500000,8200,Yes,Yes,Yes
432,2750000,3000,No,No,No
433,6800000,4600,No,Yes,No
434,7800000,5300,Yes,Yes,Yes
435,3900000,2800,No,No,No
436,1800000,1200,No,No,No
437,2400000,1800,No,Yes,No
438,3200000,2400,Yes,No,No
439,4500000,3500,No,Yes,No
440,5200000,4100,Yes,Yes,Yes
441,6100000,4800,Yes,Yes,No
442,7200000,5000,Yes,Yes,Yes
443,8400000,5600,Yes,Yes,Yes
444,9500000,6200,Yes,Yes,Yes
